nope,n,000000
add,r,000001
sub,r,000010
not,e1,000011
and,r,000100
or,r,000101
xor,r,000110
nand,r,000111
nor,r,001000
xnor,r,001001
slt,r,010101
tmul,e2,001101
tdiv,e2,001110
sll,s,001010
srl,s,001011
sra,s,001100
mtl,e3,001111
mfl,e3,010000
mth,e3,010001
mfh,e3,010010
mtac,e1,010011
mfac,e1,010100
addi,i,010110
subi,i,010111
andi,i,011000
ori,i,011001
xori,i,011010
nandi,i,011011
nori,i,011100
xnori,i,011101
lli,i,011110
lui,i,011111
lsi,i,100000
lwr,r,100001
swr,e4,100010
push,e3,100011
pop,e3,100100
jump,j,100101
jal,j,100110
jr ,e5,100111
jral,e5,101000
bgtz,i,101001
bltz,i,101010
beqz,i,101011
bnez,i,101100
bgtzr,e1,101101
bltzr,e1,101110
beqzr,e1,101111
bnezr,e1,110000
